ImageNumber,ObjectNumber,BaseFile,Prediction,EM_Score
8,3,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.13710504890798444
8,4,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.8034094488618154
8,7,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.1549178542522438
8,9,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.1103005620183902
8,10,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.2607004774601931
8,11,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.005725666422219747
8,12,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.6722891315296814
8,13,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.06434059612036844
8,14,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.09404572249441412
8,15,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.20161584634081028
8,16,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9963247620005082
8,17,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0035482375958358005
8,18,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9024247850636183
8,19,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.05154984658127515
8,20,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.999645459677542
8,21,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9997299714580578
8,22,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.08727299669410717
8,23,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.021171679463261036
8,24,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.06737987231666102
8,25,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.04947841465474822
8,26,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.019470203926006107
8,27,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.07061133981308705
8,28,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.016223087285515348
8,30,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.011434863758971334
8,31,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0015970986397537044
8,32,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.12622863004518978
8,33,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9442750105786977
8,34,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.3951001557674538
8,35,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.029905999292757744
8,36,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.8977174160497626
8,37,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9896384950302468
8,40,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9879822721553947
8,41,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.009186344996307981
8,42,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.49884623777196196
8,43,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.04312649508357919
8,44,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.13434163021977719
8,45,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.05566888927074022
8,46,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.31853274467043435
8,48,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.01967572407846474
8,50,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.17779975990362304
8,51,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.09937852079049729
8,52,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0020284431529167045
8,53,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.08464859888294009
8,55,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0013614617657507102
8,56,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.16302967163046983
8,57,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.019821733515830758
8,58,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.003944170848339364
8,61,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.999141599039872
8,62,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.13552976232392042
8,63,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9987642124074647
8,64,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0195344246316201
8,65,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.3489398662882242
8,66,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.64458946160009
8,67,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.006602794951285169
8,68,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.01304071108554686
