,Mean,Std Dev
Memb.AreaShape_Zernike_6_2,-3.8233466473691826e-17,1.0
Memb.AreaShape_Zernike_6_4,-3.148638415480503e-17,1.0
Memb.AreaShape_Zernike_6_6,-6.747082318886792e-17,0.9999999999999998
Memb.AreaShape_Zernike_7_1,-9.745785571725367e-18,1.0
Memb.AreaShape_Zernike_7_3,6.409728202942453e-17,1.0000000000000002
Memb.AreaShape_Zernike_7_5,-1.884684994409044e-15,0.999999999999991
Memb.AreaShape_Zernike_7_7,2.7063296856868135e-15,1.000000000000013
Memb.AreaShape_Zernike_8_0,2.848768090196646e-17,1.0
Memb.AreaShape_Zernike_8_2,8.996109758515723e-17,1.0000000000000002
Memb.AreaShape_Zernike_8_4,2.5249081388900796e-15,1.0000000000000122
Memb.AreaShape_Zernike_8_6,0.0,1.0
Memb.AreaShape_Zernike_8_8,9.295980083799581e-17,1.0000000000000002
Memb.AreaShape_Zernike_9_1,-2.2490274396289308e-18,1.0
Memb.AreaShape_Zernike_9_3,2.998703252838574e-17,1.0
Memb.AreaShape_Zernike_9_5,2.006507314055611e-14,1.000000000000109
Memb.AreaShape_Zernike_9_7,-4.26940375622892e-15,0.9999999999999787
Memb.AreaShape_Zernike_9_9,-9.285499615930909e-13,0.9999999999943098
Memb.Parent_Cells,-3.706397220508478e-15,0.9999999999999825
Nue.AreaShape_Area,5.9974065056771485e-18,1.0
Nue.AreaShape_BoundingBoxArea,-3.0616160470831275e-13,0.999999999998244
Nue.AreaShape_CentralMoment_0_0,5.9974065056771485e-18,1.0
Nue.AreaShape_CentralMoment_0_1,-0.0023484111312139034,0.9847099816348943
Nue.AreaShape_CentralMoment_0_2,-0.0010059841354945866,0.9934326322204226
Nue.AreaShape_CentralMoment_0_3,-0.008587228188106817,0.9256385553016947
Nue.AreaShape_CentralMoment_1_0,-0.0020074889794214927,0.9799708292284657
Nue.AreaShape_CentralMoment_1_1,-0.001041030644460443,0.9931331042993421
Nue.AreaShape_CentralMoment_1_2,-0.0062190517890240585,0.956172140435468
Nue.AreaShape_CentralMoment_1_3,-0.005982668828182825,0.9446654449075866
Nue.AreaShape_CentralMoment_2_0,-0.0021299915165622152,0.9832562368157621
Nue.AreaShape_CentralMoment_2_1,-0.0027141897744014805,0.9802676652217912
Nue.AreaShape_CentralMoment_2_2,-0.009481637103126574,0.905745302227402
Nue.AreaShape_CentralMoment_2_3,-0.009080683059155742,0.884026979299398
Nue.AreaShape_Compactness,-0.009023949478312851,0.9227480135754735
Nue.AreaShape_ConvexArea,1.1994813011354297e-17,1.0000000000000002
Nue.AreaShape_Eccentricity,-8.996109758515723e-18,1.0
Nue.AreaShape_EquivalentDiameter,-2.998703252838574e-17,1.0000000000000002
Nue.AreaShape_EulerNumber,,
Nue.AreaShape_Extent,1.7992219517031446e-17,1.0
Nue.AreaShape_FormFactor,5.9974065056771485e-18,1.0
Nue.AreaShape_HuMoment_0,1.0742184641003502e-06,1.0000088161495753
Nue.AreaShape_HuMoment_1,-0.004426519096496889,0.964209886756453
Nue.AreaShape_HuMoment_2,-0.021030315033248773,0.6890535865368219
Nue.AreaShape_HuMoment_3,-0.019317154135687145,0.5128475118057169
Nue.AreaShape_HuMoment_4,-0.01615970036375888,0.28659375320849456
Nue.AreaShape_HuMoment_5,-0.017617822736399027,0.39688664668633283
Nue.AreaShape_HuMoment_6,0.008567626286429037,0.5818517658972309
Nue.AreaShape_InertiaTensorEigenvalues_0,-2.5791019635307447e-10,0.9999999982363437
Nue.AreaShape_InertiaTensorEigenvalues_1,5.01023339484269e-14,1.000000000000269
Nue.AreaShape_InertiaTensor_0_0,2.6774019750695254e-09,1.0000000189746399
Nue.AreaShape_InertiaTensor_0_1,-7.605273706058532e-14,0.9999999999995812
Nue.AreaShape_InertiaTensor_1_0,-7.605273706058532e-14,0.9999999999995812
Nue.AreaShape_InertiaTensor_1_1,-0.0019473997025542785,0.9866982839427855
Nue.AreaShape_MajorAxisLength,5.63756211533652e-16,1.0000000000000024
Nue.AreaShape_MaxFeretDiameter,-4.797925204541719e-16,0.999999999999998
Nue.AreaShape_MaximumRadius,-2.3989626022708594e-17,1.0
Nue.AreaShape_MeanRadius,2.3989626022708594e-17,1.0000000000000002
Nue.AreaShape_MedianRadius,2.998703252838574e-17,1.0
Nue.AreaShape_MinFeretDiameter,5.997406505677148e-17,1.0000000000000002
Nue.AreaShape_MinorAxisLength,5.397665855109434e-17,1.0000000000000002
Nue.AreaShape_NormalizedMoment_0_2,-1.0657245833519433e-09,0.9999999925535915
Nue.AreaShape_NormalizedMoment_0_3,-0.004264839844235175,0.9533528317833598
Nue.AreaShape_NormalizedMoment_1_1,-4.593263707535486e-15,0.9999999999999776
Nue.AreaShape_NormalizedMoment_1_2,4.400931813765271e-10,1.0000000030470837
Nue.AreaShape_NormalizedMoment_1_3,-0.0012941956909881859,0.9918501323606346
Nue.AreaShape_NormalizedMoment_2_0,-0.001051944514088011,0.9934508502147057
Nue.AreaShape_NormalizedMoment_2_1,-0.003743488492519794,0.9737617682459065
Nue.AreaShape_NormalizedMoment_2_2,-0.005120887174835747,0.951128152626107
Nue.AreaShape_NormalizedMoment_2_3,-0.011355118474089477,0.8145844822863885
Nue.AreaShape_NormalizedMoment_3_0,-0.00264130601501777,0.9766402461522925
Nue.AreaShape_NormalizedMoment_3_1,-0.0029581703252359766,0.9798525359384881
Nue.AreaShape_NormalizedMoment_3_2,-0.004908812147164517,0.9608476082637176
Nue.AreaShape_NormalizedMoment_3_3,-0.006057771851445766,0.942519595327713
Nue.AreaShape_Orientation,2.8862518808571275e-17,1.0
Nue.AreaShape_Perimeter,2.1053553686008806e-11,1.000000000138252
Nue.AreaShape_Solidity,5.9974065056771485e-18,1.0
Nue.AreaShape_SpatialMoment_0_0,5.9974065056771485e-18,1.0
Nue.AreaShape_SpatialMoment_0_1,1.973146740367782e-15,1.0000000000000095
Nue.AreaShape_SpatialMoment_0_2,-1.708253709643489e-10,0.9999999987306183
Nue.AreaShape_SpatialMoment_0_3,-0.005888534659067022,0.9572227774049457
Nue.AreaShape_SpatialMoment_1_0,-1.3761049227276217e-13,0.999999999999248
Nue.AreaShape_SpatialMoment_1_1,-0.0007013642630506627,0.9950109270512469
Nue.AreaShape_SpatialMoment_1_2,-0.002346247717806859,0.9792727072001786
Nue.AreaShape_SpatialMoment_1_3,-0.004419188178021301,0.9544006375258746
Nue.AreaShape_SpatialMoment_2_0,-0.001716086556517569,0.9873625834479197
Nue.AreaShape_SpatialMoment_2_1,-0.005774981427032349,0.9527884524784154
Nue.AreaShape_SpatialMoment_2_2,-0.008068833866322862,0.9136604271944229
Nue.AreaShape_SpatialMoment_2_3,-0.009069796058919083,0.8841092244194134
Nue.AreaShape_Zernike_0_0,-1.1994813011354297e-17,1.0
Nue.AreaShape_Zernike_1_1,4.6479900418997903e-17,1.0000000000000002
Nue.AreaShape_Zernike_2_0,-1.1994813011354297e-17,1.0
Nue.AreaShape_Zernike_2_2,-2.998703252838574e-17,1.0
Nue.AreaShape_Zernike_3_1,6.072374086998113e-17,1.0000000000000002
Nue.AreaShape_Zernike_3_3,-2.8732653966800597e-11,0.9999999998151401
Nue.AreaShape_Zernike_4_0,1.1994813011354297e-17,1.0000000000000002
Nue.AreaShape_Zernike_4_2,3.598443903406289e-17,1.0
Nue.AreaShape_Zernike_4_4,5.397665855109434e-17,1.0000000000000002
Nue.AreaShape_Zernike_5_1,-2.0990922769870022e-17,1.0000000000000002
Nue.AreaShape_Zernike_5_3,-4.346020624338946e-13,0.9999999999974357
Nue.AreaShape_Zernike_5_5,-8.234451127107737e-12,0.9999999999483595
Nue.AreaShape_Zernike_6_0,1.820212874473015e-15,1.0000000000000089
Nue.AreaShape_Zernike_6_2,1.1994813011354297e-17,1.0
Nue.AreaShape_Zernike_6_4,5.9974065056771485e-18,1.0
Nue.AreaShape_Zernike_6_6,-3.1186513829521174e-16,0.9999999999999987
Nue.AreaShape_Zernike_7_1,6.072374086998113e-17,1.0
Nue.AreaShape_Zernike_7_3,-1.1140182584295304e-15,0.9999999999999948
Nue.AreaShape_Zernike_7_5,-9.50588931149828e-16,0.9999999999999958
Nue.AreaShape_Zernike_7_7,-1.6904889717552179e-12,0.9999999999890402
Nue.AreaShape_Zernike_8_0,4.084758603435385e-14,1.0000000000002205
Nue.AreaShape_Zernike_8_2,-6.222309249640042e-17,0.9999999999999997
Nue.AreaShape_Zernike_8_4,0.0,1.0
Nue.AreaShape_Zernike_8_6,2.3614788116103773e-17,1.0
Nue.AreaShape_Zernike_8_8,8.756213498288637e-16,1.0000000000000042
Nue.AreaShape_Zernike_9_1,2.9987032528385742e-18,1.0
Nue.AreaShape_Zernike_9_3,-3.298573578122432e-17,1.0
Nue.AreaShape_Zernike_9_5,-1.1365085328258197e-15,0.9999999999999946
Nue.AreaShape_Zernike_9_7,1.6962127465890734e-13,1.0000000000009466
Nue.AreaShape_Zernike_9_9,-5.341121595581368e-08,0.9999995940326203
