ImageNumber,ObjectNumber,EM_Score,Predicted_Annotation,Treatment
14,74,0.010387729078175907,E,M
14,75,0.0024968335556145465,E,M
14,76,8.569344486018918e-05,E,M
14,78,4.4270895836580306e-05,E,M
14,81,0.9999901748158302,M,M
14,82,0.0001500744254298976,E,M
15,1,0.0001265052733556138,E,M
15,2,0.0002834681333234691,E,M
15,3,0.004552128581784077,E,M
15,5,0.0006677574366131852,E,M
15,7,0.9740764604610256,M,M
15,9,0.5428106704675941,M,M
15,13,0.0686595012720221,E,M
15,14,0.9830162240985152,M,M
15,15,0.025145780610860244,E,M
15,18,0.005713356142234884,E,M
15,19,0.855238654251481,M,M
15,20,0.7999422382428756,M,M
15,22,0.0022210697126667928,E,M
15,23,8.023140838988644e-05,E,M
15,24,0.036554038555775284,E,M
15,25,0.9906412081119923,M,M
15,27,0.004570218225390237,E,M
15,28,0.9463641220535672,M,M
15,29,0.005259327660941772,E,M
15,30,0.9995601233711883,M,M
15,31,0.0002977568775405556,E,M
15,32,0.0017315352857410848,E,M
15,33,0.0030068395184661167,E,M
15,34,0.016108716537595193,E,M
15,35,0.1127844825149793,E,M
15,36,0.11603665091412776,E,M
15,37,0.004327624966409578,E,M
15,38,0.01384171044811841,E,M
15,39,0.9945849174796294,M,M
15,40,0.999168209130103,M,M
15,41,5.787678596837169e-05,E,M
15,42,0.00014347893239374739,E,M
15,43,0.2721660130583889,E,M
15,44,0.2074621259271903,E,M
15,45,0.7698343223601751,M,M
15,46,0.0027421367448460594,E,M
15,47,0.014374117894719533,E,M
15,48,0.0006033303718098814,E,M
15,49,0.003612768565932414,E,M
15,50,0.0031460071698993677,E,M
15,51,0.9662108361887377,M,M
15,54,0.08154125538894502,E,M
15,55,0.0028146641107660176,E,M
15,56,0.08395723252428573,E,M
15,57,0.00014116878800596056,E,M
15,58,0.04958724323930117,E,M
15,59,0.0026984280892367696,E,M
15,60,0.0049397785820655534,E,M
15,63,1.1859861425591275e-05,E,M
15,64,0.052969327894202375,E,M
15,65,0.06939303502634615,E,M
15,66,0.011488252168832098,E,M
15,67,0.07893771772741977,E,M
15,68,0.003389291260125755,E,M
15,69,0.005565201214237759,E,M
15,70,0.0016021338303647112,E,M
15,71,0.998689767197597,M,M
15,72,0.0015450661138121482,E,M
15,73,0.9847898065337021,M,M
15,74,0.09053903939286712,E,M
15,75,0.152617426495687,E,M
15,76,0.917072604518112,M,M
15,78,0.024156899470065364,E,M
15,79,2.269197859280548e-05,E,M
15,80,0.01962778257342663,E,M
15,81,0.9450751507306101,M,M
15,83,0.02680470703164596,E,M
15,85,0.007145156540004178,E,M
15,86,0.0035065525982513534,E,M
15,87,0.00511702893455618,E,M
15,88,0.00031363141627511126,E,M
15,89,0.0032270849652161642,E,M
15,90,0.0005970233343556649,E,M
15,91,0.02065321955102461,E,M
15,92,9.757273249104373e-05,E,M
15,93,0.9964087948427248,M,M
15,94,0.12904325204150138,E,M
15,95,4.519910003128556e-05,E,M
15,96,0.0009836617392699346,E,M
16,5,0.6103749631295889,M,M
16,6,0.528055549818436,M,M
16,7,0.01702892061594705,E,M
16,9,0.829144645359241,M,M
16,10,0.9958542311495617,M,M
16,12,0.0049292713830077686,E,M
16,15,0.0018608667325902605,E,M
16,16,2.0189633007136135e-05,E,M
16,17,0.002044275175697302,E,M
16,19,0.6396765168472531,M,M
16,20,0.009575729593321165,E,M
16,21,0.0005044406515754116,E,M
16,22,0.9882149522152666,M,M
16,23,0.9998384165045858,M,M
16,24,0.001825124172081564,E,M
16,26,0.007223389846280245,E,M
16,27,0.0002804061191916859,E,M
16,28,2.3032590400822116e-05,E,M
16,30,0.00256452749890193,E,M
16,31,0.032741742518929945,E,M
16,32,0.938653579726601,M,M
16,33,0.8423437048427304,M,M
16,34,0.046882704056693585,E,M
16,35,0.9999869435282456,M,M
16,36,0.8783264950845425,M,M
16,37,0.013671566825691988,E,M
16,38,0.9945808923435744,M,M
16,39,0.9688233909951433,M,M
16,40,0.0072754325457412726,E,M
16,41,0.9790810596953126,M,M
16,42,0.6289298656458955,M,M
16,43,0.4428376196241531,E,M
17,1,0.0014344934138549985,E,M
17,2,0.005591263250453406,E,M
17,4,0.07624074298684097,E,M
17,6,0.5414162892207989,M,M
17,7,0.06859774421538911,E,M
17,8,0.007568737106776394,E,M
17,9,0.0020902523513092754,E,M
17,10,0.7597776334556423,M,M
17,11,0.9040458962361894,M,M
17,12,0.01064311828679929,E,M
17,14,0.0010865988757019173,E,M
17,15,0.03787296292719809,E,M
18,8,0.3487723851254677,E,M
18,10,0.7246951045193167,M,M
18,11,0.07101385169896253,E,M
18,12,0.0010739334228902979,E,M
18,14,0.0006845753608717119,E,M
18,15,0.02943264004039552,E,M
18,16,0.9999075972367446,M,M
18,17,0.04684855557584514,E,M
18,18,2.636632835127356e-05,E,M
18,19,3.7233562523186615e-05,E,M
18,20,0.002680523203871669,E,M
18,21,0.0013727023883240521,E,M
18,22,0.02093275164369348,E,M
18,23,0.00458520734056083,E,M
18,24,0.014322734152086916,E,M
18,25,8.98853095475471e-05,E,M
18,26,0.05927615084108965,E,M
18,27,0.0880488302444101,E,M
18,28,0.0007710034297940135,E,M
18,29,0.031158084675830665,E,M
18,30,0.07291895997226892,E,M
18,31,1.8025872678388623e-05,E,M
18,32,0.0049827872602964535,E,M
18,33,0.02959414478172539,E,M
18,34,0.026747469023546695,E,M
18,35,0.0037524098931795,E,M
18,36,0.06687580939542151,E,M
18,37,0.00017557845593842275,E,M
18,38,0.0005241416032840331,E,M
18,39,0.009978373858476405,E,M
18,40,0.00498717843314433,E,M
18,41,0.09884884721285615,E,M
18,43,0.003377969405701707,E,M
18,44,0.000770772450451067,E,M
18,45,0.01726233167547252,E,M
18,46,0.007641994430892267,E,M
18,47,0.033443690267808884,E,M
18,48,0.8908321968768305,M,M
18,49,0.05830512818341344,E,M
18,51,0.0003023556791774017,E,M
19,3,0.005229674507986533,E,M
19,4,0.9873726212679071,M,M
19,6,0.9671824198009935,M,M
19,8,0.005963850950530361,E,M
19,9,0.708435888880682,M,M
19,11,0.21787531674750885,E,M
19,12,0.15310289262720347,E,M
19,13,0.006100706805955282,E,M
19,14,0.013631653932113753,E,M
19,15,0.011455513920384363,E,M
19,17,0.24075444515367833,E,M
19,18,0.0016415235853630683,E,M
19,19,0.07879238493857461,E,M
19,20,0.005392367928414159,E,M
19,21,0.056918537040718704,E,M
19,22,0.05284220538049734,E,M
19,23,0.9999024528508333,M,M
19,24,0.004199985762286613,E,M
19,25,0.9399552056796299,M,M
19,26,2.5378337310542206e-05,E,M
19,27,0.00016234543923277175,E,M
19,28,0.9956411663171812,M,M
19,29,0.41639733008787544,E,M
19,30,0.0009680108147412114,E,M
19,32,0.016313170330935503,E,M
19,33,0.9920935923314868,M,M
19,34,0.8222799921074505,M,M
19,35,0.00011340555514917318,E,M
19,36,2.4096751295352486e-05,E,M
19,37,0.00022275723417128815,E,M
19,38,0.012858863563327893,E,M
19,39,0.9814794236956135,M,M
19,40,0.7351906050442351,M,M
19,41,0.9980696875899799,M,M
19,42,0.0001549821189971387,E,M
19,43,0.39060197967858784,E,M
19,44,0.6846958048669258,M,M
19,45,0.003264644131031009,E,M
19,46,0.9550648152036979,M,M
19,48,0.9999979302797716,M,M
19,49,0.9996995800538911,M,M
19,50,0.006020355805382043,E,M
19,51,0.8815108223158113,M,M
19,52,0.0001438739518560023,E,M
19,54,0.014367844508032168,E,M
19,55,8.571069700500291e-05,E,M
19,56,0.009884834269701527,E,M
19,57,0.02171227181185081,E,M
19,58,0.04908655651100182,E,M
19,59,0.002315080342028763,E,M
19,61,0.0008384983857265552,E,M
19,63,0.013959100408349653,E,M
19,64,0.9475268240986968,M,M
19,65,0.006103206705359526,E,M
19,66,0.9993422906343188,M,M
19,67,0.9845439007467629,M,M
19,68,0.00033476464681212153,E,M
19,70,0.0016081391668917404,E,M
19,71,0.996635137241937,M,M
19,72,0.009252907777552284,E,M
19,73,0.9939203924661391,M,M
19,74,0.00018765653504031397,E,M
19,75,0.1253312200526722,E,M
19,76,0.018598193388182305,E,M
19,77,0.020744460454926814,E,M
19,78,0.0001214359393965904,E,M
19,79,0.9543304201433153,M,M
19,80,0.00038886182420844894,E,M
19,81,0.07503397020737403,E,M
19,82,0.009473875698837389,E,M
19,83,0.0034973090857335827,E,M
19,84,0.04048196899056522,E,M
19,85,0.004606778535281319,E,M
19,86,6.234147876831187e-05,E,M
19,87,0.05697865123969383,E,M
19,88,0.0032039589726656813,E,M
19,89,0.3571778794553006,E,M
19,90,0.010350260228811022,E,M
19,91,0.07804611256726968,E,M
19,93,0.9683061429182954,M,M
19,94,0.04977046327215737,E,M
19,95,4.792978501246855e-05,E,M
19,98,0.24220075383067274,E,M
19,99,0.9870609225950777,M,M
19,100,0.01574788944597355,E,M
19,101,0.03858405120397967,E,M
19,102,0.0001234246990209673,E,M
19,103,0.005746418500079111,E,M
19,105,0.09139467918332822,E,M
19,106,0.0004910062191408982,E,M
19,107,0.0033302834376998753,E,M
19,108,6.560132322707375e-05,E,M
19,109,0.02881417392542546,E,M
19,110,0.6195932974583374,M,M
19,111,0.0007669617837534938,E,M
19,112,0.026382447799196913,E,M
19,113,0.008221889765268773,E,M
19,114,0.00018879997453914764,E,M
19,115,0.9966864571315953,M,M
19,116,0.00425985336273521,E,M
19,117,0.002822453943072251,E,M
19,118,0.0007964111007612627,E,M
19,119,0.33023164544212913,E,M
19,120,0.08923331771719188,E,M
19,121,0.09829321464774494,E,M
19,122,0.012768018111295933,E,M
19,123,0.0006125721596895905,E,M
19,124,0.0004243775651743552,E,M
19,125,0.0003612463246486152,E,M
