ImageNumber,ObjectNumber,BaseFile,Prediction,EM_Score
8,3,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00044491067808839356
8,4,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.1025750051280591
8,7,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.000884417831136875
8,9,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0014913820568396188
8,10,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.006284571374761324
8,11,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,2.5552397169451063e-05
8,12,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0004205704998887542
8,13,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0036169759166006167
8,14,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0003928186628845264
8,15,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00013620273358709733
8,16,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.10395012758931158
8,17,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,6.902129000114779e-05
8,18,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.015884523861237353
8,19,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00019058105229638968
8,20,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.5461399599377602
8,21,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.11783300356926811
8,22,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.012697749830191908
8,23,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00034464247531729256
8,24,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0004954732407923711
8,25,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.001512852369985279
8,26,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00010881905398177785
8,27,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0018995122794471806
8,28,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0004511885810533051
8,30,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00012603295492710607
8,31,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,8.452866956905805e-05
8,32,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0006213469865805509
8,33,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.042844780936576725
8,34,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0013082006669408214
8,35,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00014588935930136856
8,36,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.020608388857499816
8,37,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.1118403059988237
8,40,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.10208576335233203
8,41,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00011660427552436715
8,42,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.015869328772664212
8,43,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00010175962998173948
8,44,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0002400100894775632
8,45,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00017214146850528915
8,46,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.007963900322032091
8,48,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0021977171811780045
8,50,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.000678929172078645
8,51,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0033973184124392905
8,52,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,2.542762413223248e-05
8,53,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0008382830998034669
8,55,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,6.179310847497599e-05
8,56,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,6.656762379725281e-05
8,57,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0003942643796228955
8,58,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0010719394949157818
8,61,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.7108390204672161
8,62,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0001163453058677018
8,63,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.472692951268893
8,64,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,4.844994654122957e-05
8,65,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.008991646018224492
8,66,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.055507167644820936
8,67,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0005461502884100872
8,68,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,9.939052347462771e-05
8,69,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,1.7770242172409927e-05
8,70,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.005164091696253901
8,71,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0008183425461097514
8,72,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0009131856913015048
8,73,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.000574417262499509
8,74,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00011006407658869335
8,75,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00012561379063867351
8,76,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0004081118630379178
8,77,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00014911180376933974
8,78,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.008188825430133106
8,79,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00015305217165922396
8,80,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0023521264673122826
8,82,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00024323834136485775
8,83,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0008842915129265647
8,84,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.004582734731042604
8,85,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0009352568776259353
8,88,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0006905756953863203
8,89,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0006625531127304252
8,90,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0010422225459701434
8,91,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0003331929189911724
8,92,MyExpt_FilteredCells_with_Cell_Quality_annotation,M,0.9803495869762945
8,94,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.005187286988100371
8,95,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00032038026049713877
8,96,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.005295973526152496
8,97,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0001168977444517884
8,98,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0011388255649686508
8,99,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0005606025361674783
8,101,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0029760856367903373
8,102,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,6.404225425633987e-05
8,103,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0033388214483715804
8,104,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00012257436250583928
8,105,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.008057139336834386
8,107,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0001630363816541271
8,108,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,9.534771648459149e-06
8,109,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0002918534729466532
8,110,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0004939252925382298
8,111,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.00038121110604642496
8,112,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0014354916323454047
8,113,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,2.3827256800700402e-05
8,114,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.0010834935622867246
8,115,MyExpt_FilteredCells_with_Cell_Quality_annotation,E,0.25470792373636136
