ImageNumber,ObjectNumber,Treatment,Prediction,EM_Score
8,3,M,E,0.1710637229021623
8,4,M,M,0.9950884386554152
8,7,M,E,0.1493312263075834
8,9,M,E,0.10934117756057907
8,10,M,E,0.2617666482609828
8,11,M,E,0.0018016773239288729
8,12,M,E,0.7327784329397578
8,13,M,E,0.07363711291468825
8,14,M,E,0.21744449600573632
8,15,M,E,0.13121176894471537
8,16,M,E,0.9999456716872079
8,17,M,E,0.0028288818127238232
8,18,M,E,0.9243357233089765
8,19,M,E,0.10453514530092708
8,20,M,M,0.9998271637614845
8,21,M,E,0.9999631504273829
8,22,M,E,0.15890044630589187
8,23,M,E,0.007428761803864123
8,24,M,M,0.10298501890507107
8,25,M,E,0.05786467346485196
8,26,M,E,0.017872249776688894
8,27,M,E,0.07396366073828085
8,28,M,E,0.006534436009850807
8,30,M,E,0.023942389875046162
8,31,M,E,0.0049587238034289665
8,32,M,E,0.378896231478603
8,33,M,M,0.9968462164911219
8,34,M,E,0.8000189518675646
8,35,M,E,0.02672729774739744
8,36,M,M,0.917548202451716
8,37,M,M,0.9858562411593544
8,40,M,E,0.999819787681164
8,41,M,E,0.011862384339165153
8,42,M,E,0.7312890278377073
8,43,M,E,0.020337111888273956
8,44,M,E,0.047594522462054346
8,45,M,E,0.0954827987520589
8,46,M,E,0.5324148012173149
8,48,M,E,0.35640561004341703
8,50,M,E,0.12438570576223315
8,51,M,M,0.7598943858117174
8,52,M,E,0.014183536205463903
8,53,M,E,0.031082264260560537
8,55,M,E,0.002259898672351202
8,56,M,E,0.05810957012264869
8,57,M,E,0.021885781346138385
8,58,M,E,0.0038877146081509975
8,61,M,M,0.9997291968918521
8,62,M,E,0.35065783495083525
8,63,M,M,0.9999868410734357
8,64,M,E,0.03230939902208054
8,65,M,E,0.4210108075567249
8,66,M,M,0.6970615603689975
8,67,M,E,0.01343981689692543
8,68,M,E,0.0050443235932911305
8,69,M,E,0.006233892678061314
8,70,M,E,0.14461407271415966
8,71,M,E,0.08422636924621163
8,72,M,E,0.022384033956268142
8,73,M,E,0.9185956077829535
8,74,M,E,0.01866841214503322
8,75,M,E,0.008346277150164758
8,76,M,E,0.06590630502998589
8,77,M,E,0.09277358097007792
8,78,M,E,0.9972649109806826
8,79,M,E,0.005385258055086179
8,80,M,E,0.8722592892544234
8,82,M,E,0.23238728801523068
8,83,M,E,0.4213679101241509
8,84,M,M,0.9935737196349814
8,85,M,E,0.06314141028999726
8,88,M,M,0.5203540745289049
8,89,M,E,0.1113775654320584
8,90,M,E,0.9626640467055462
8,91,M,E,0.00564044433572309
8,92,M,M,0.9999652047390132
8,94,M,E,0.04209419162748073
8,95,M,E,0.03796362464524145
8,96,M,E,0.3039088564746188
8,97,M,E,0.12421339307072268
8,98,M,E,0.09423128321607736
8,99,M,E,0.08398965738153757
8,101,M,M,0.3197979138567115
8,102,M,E,0.004896919346877034
8,103,M,M,0.9537154369919905
8,104,M,E,0.015249589904109238
8,105,M,E,0.09285007092731004
8,107,M,E,0.009010512370326658
8,108,M,E,0.009393675632228649
8,109,M,E,0.0019335699801003654
8,110,M,E,0.03537210379681906
8,111,M,E,0.0063128636184499555
8,112,M,E,0.330277130173569
8,113,M,E,0.005553213963231247
8,114,M,E,0.21588206544502764
8,115,M,E,0.9994618505102126
8,116,M,E,0.07249182901607147
8,117,M,M,0.9999615237938978
8,118,M,M,0.9999652399421767
8,119,M,E,0.045177503227494906
8,120,M,E,0.9890552371610097
8,121,M,E,0.00611625794164818
8,122,M,E,0.07116246732878732
8,123,M,E,0.008136750308043821
8,125,M,E,0.5009156441344352
8,127,M,E,0.0017260702311880556
8,128,M,E,0.019265188589982375
8,129,M,E,0.07454026195751146
8,130,M,E,0.14127078513295424
8,131,M,E,0.011776181552110174
8,133,M,E,0.48504496970056565
8,134,M,E,0.9947773760413711
8,136,M,E,0.0074234289811830004
8,137,M,M,0.7212268598867287
8,138,M,E,0.00557764756149977
8,139,M,E,0.5252012734724611
8,140,M,E,0.12104347007350921
8,141,M,E,0.0013497258873826923
8,142,M,E,0.0949414996058483
8,143,M,E,0.007453511481891163
8,144,M,E,0.0902667290392051
8,145,M,E,0.025642588931692335
8,146,M,E,0.00855802101751357
8,147,M,E,0.011667506385516672
8,148,M,E,0.004978616837334666
8,149,M,E,0.011647399426845489
8,150,M,E,0.015116548894562681
8,151,M,E,0.0018369810489395535
8,152,M,E,0.010603888139249368
8,153,M,E,0.8088843437901283
8,155,M,M,0.418139727710384
8,158,M,E,0.0033726804079626063
8,159,M,E,0.15179644907392556
8,160,M,E,0.9869064264249262
8,161,M,E,0.11495940997709783
8,162,M,M,0.9974508201807403
8,163,M,E,0.08916978477911808
8,164,M,E,0.008613567892589012
8,165,M,E,0.0037384593927485073
8,166,M,M,0.9365440769521896
8,167,M,E,0.02155492266978137
9,1,M,M,0.9987992727366659
9,2,M,E,0.5815249381808424
9,3,M,E,0.3315385569253944
9,4,M,E,0.09115081214928676
9,6,M,E,0.9789203674052026
9,7,M,E,0.1220596446029691
9,8,M,M,0.9998438261396985
9,9,M,M,0.9999993368619943
9,10,M,E,0.01397591303513106
9,11,M,E,0.496768816619061
9,12,M,M,0.5657628602844755
9,13,M,M,0.7417038324102497
9,15,M,E,0.98139270953825
9,16,M,M,0.9999969799433314
9,17,M,E,0.0869071912583411
9,19,M,E,0.0028628977207402484
9,20,M,E,0.960295553703561
9,21,M,M,0.24204239133374728
9,22,M,E,0.018000929446805453
9,24,M,M,0.9927722734226074
9,25,M,M,0.9999961732184013
9,26,M,E,0.005516343739862526
9,28,M,E,0.0054874327413237224
9,31,M,E,0.0007241556836740202
9,32,M,E,0.0831843598031929
9,33,M,E,0.12547008294301712
9,34,M,E,0.20394848717714723
9,35,M,E,0.6835747965789025
9,36,M,E,0.24987571048965757
9,37,M,M,0.9837882787422765
9,38,M,E,0.1555640025703274
9,39,M,E,0.022325096574886984
9,40,M,E,0.17937160450021
9,41,M,E,0.03407182295201281
9,43,M,E,0.029865163383979848
9,45,M,E,0.0459474269043387
9,46,M,E,0.5460204286031165
9,47,M,E,0.011240943857166088
9,48,M,M,0.683845923931435
9,50,M,E,0.02070983372693894
9,51,M,E,0.011629363463672392
9,52,M,E,0.9511004354747699
9,53,M,E,0.6227448551565529
9,54,M,E,0.05304838895654499
9,55,M,E,0.27695501043708415
9,56,M,E,0.5383307075603229
9,57,M,E,0.8438661020621848
9,59,M,E,0.021268536515302916
9,60,M,E,0.4386977265391901
9,61,M,E,0.10167981767318639
9,62,M,E,0.2209591763900728
9,63,M,M,0.21207264720166064
9,68,M,E,0.07791728902889682
9,69,M,E,0.013275710289458108
9,71,M,E,0.06376300625829946
9,74,M,E,0.1076877259755905
9,78,M,E,0.9872980886902027
9,82,M,E,0.4952201169353934
9,84,M,E,0.004970196347422102
9,86,M,E,0.0186205297576052
9,88,M,M,0.6565553788895203
9,89,M,E,0.15555318978574062
9,90,M,E,0.03183934998113788
9,91,M,E,0.0010436081191781974
9,92,M,E,0.023245673292400397
9,94,M,E,0.00452099707431783
9,95,M,E,0.0029049312753059555
9,96,M,E,0.046760911681975964
9,99,M,M,0.5233742588870274
9,100,M,E,0.005638612943435533
9,101,M,E,0.046161572292876686
9,103,M,E,0.004924510206708571
9,106,M,E,0.6599080693133971
9,107,M,M,0.9998590579525398
9,108,M,E,0.04170925567181954
9,109,M,E,0.06676992460783107
9,110,M,M,0.8950827717178669
9,111,M,M,0.8108363816561841
9,112,M,M,0.999710769997163
9,114,M,E,0.5806007389899223
10,2,M,M,0.9997975003109635
10,3,M,E,0.015106566427121453
10,4,M,E,0.820605656009979
10,7,M,M,0.9979347139674863
10,9,M,M,0.9134964819634661
10,10,M,E,0.08560016265944995
10,12,M,E,0.009675255208960223
10,13,M,M,0.3402034263696426
10,16,M,E,0.10982141856116534
10,19,M,E,0.19947296154289448
10,21,M,E,0.06897684940354132
10,23,M,E,0.046809654095785816
10,24,M,E,0.013380846267168374
10,25,M,E,0.9457569066161629
10,26,M,E,0.0048472534827180514
10,27,M,E,0.526607193489681
10,28,M,E,0.06464818322618376
10,29,M,M,0.07235305420737985
10,30,M,E,0.03041585791595504
10,31,M,E,0.11394348201153913
10,32,M,E,0.06695522532906799
10,33,M,E,0.25916231900275033
10,35,M,E,0.011900646165212792
10,36,M,M,0.97733335137865
10,37,M,E,0.021561406713616196
10,38,M,E,0.006101672678622932
10,39,M,E,0.15461901134915224
10,40,M,E,0.08211742024165847
10,41,M,E,0.022379294460923408
10,43,M,E,0.0077817840464065174
10,44,M,E,0.005030430260473233
10,46,M,E,0.9817135102318201
10,47,M,E,0.0015124948286391387
10,49,M,M,0.9627572363677
10,50,M,E,0.26626806014060905
10,53,M,E,0.7827135011165893
10,54,M,E,0.07175375766077673
10,55,M,M,0.9999999825288396
10,58,M,M,0.43590500537944804
10,59,M,E,0.4060360891918942
10,60,M,E,0.0062642263095310435
10,61,M,E,0.003385570290028966
10,62,M,M,0.9725837386290289
10,63,M,E,0.0014743200743658257
10,64,M,E,0.06916973927659648
10,65,M,M,0.9330414154016596
10,66,M,E,0.43810465088589234
10,67,M,E,0.052329091744358375
10,68,M,M,0.9999988147580795
10,69,M,E,0.9375780061645144
10,70,M,E,0.02227793607957667
10,71,M,E,0.9835083094489855
10,75,M,E,0.023250142052738763
10,76,M,E,0.9756765684748662
10,78,M,E,0.004893039273329403
10,79,M,M,0.5287697749046054
10,80,M,E,0.9976006874051995
10,82,M,E,0.045525636658862514
10,83,M,E,0.14050516887402037
10,86,M,E,0.24066254596998762
10,88,M,E,0.15916653062862354
10,90,M,E,0.0022604005587193595
10,94,M,M,0.9983339397162809
10,95,M,M,0.5903132803933548
10,96,M,E,0.2942010956226004
10,97,M,E,0.0274157672599166
10,99,M,E,0.10221956600962548
11,1,M,E,0.18024914122499297
11,2,M,E,0.055181443773358436
11,3,M,E,0.01681454907175038
11,4,M,M,0.8797519928615966
11,5,M,E,0.6732187547998265
11,7,M,M,0.9996245528126743
11,8,M,M,0.9999999993438926
11,10,M,E,0.4164653067486612
11,12,M,M,0.547451975805133
11,13,M,E,0.9997397630871835
11,14,M,E,0.4627407926527541
11,15,M,M,0.686351764664917
11,16,M,M,0.2090562510049153
11,17,M,E,0.08862116387183296
11,18,M,E,0.24409613070257577
11,23,M,E,0.0014141083619586502
11,24,M,E,0.08651373880171633
11,25,M,E,0.014932608429130271
11,28,M,E,0.0890978105518743
11,29,M,E,0.9999842022626128
11,30,M,E,0.04889135992370277
11,31,M,E,0.043232566003230374
