,Mean,Std Dev
Memb.AreaShape_Zernike_5_5,3.815877655007946e-15,1.0000000000000153
Memb.AreaShape_Zernike_6_0,3.042833474898577e-17,1.0
Memb.AreaShape_Zernike_6_2,-2.960594732333751e-17,1.0
Memb.AreaShape_Zernike_6_4,-3.947459643111668e-17,1.0
Memb.AreaShape_Zernike_6_6,4.605369583630279e-17,1.0000000000000002
Memb.AreaShape_Zernike_7_1,8.22387425648264e-18,1.0
Memb.AreaShape_Zernike_7_3,-2.4671622769447922e-17,1.0
Memb.AreaShape_Zernike_7_5,1.3158198810372225e-16,1.0000000000000004
Memb.AreaShape_Zernike_7_7,1.394769073899456e-15,1.000000000000005
Memb.AreaShape_Zernike_8_0,3.947459643111668e-17,1.0
Memb.AreaShape_Zernike_8_2,-5.2632795241488905e-17,1.0
Memb.AreaShape_Zernike_8_4,2.6316397620744452e-17,1.0
Memb.AreaShape_Zernike_8_6,-1.3158198810372226e-17,1.0
Memb.AreaShape_Zernike_8_8,6.579099405186113e-18,1.0000000000000002
Memb.AreaShape_Zernike_9_1,-1.973729821555834e-17,1.0
Memb.AreaShape_Zernike_9_3,-6.579099405186113e-18,1.0
Memb.AreaShape_Zernike_9_5,3.6185046728523623e-17,1.0
Memb.AreaShape_Zernike_9_7,-4.3422056074228343e-16,0.9999999999999984
Memb.AreaShape_Zernike_9_9,6.579099405186112e-17,1.0000000000000002
Memb.Parent_Cells,3.947459643111668e-17,1.0000000000000002
Nue.AreaShape_Area,-2.0066253185817644e-16,0.9999999999999993
Nue.AreaShape_BoundingBoxArea,1.3618735768735254e-15,1.000000000000006
Nue.AreaShape_CentralMoment_0_0,-2.0066253185817644e-16,0.9999999999999993
Nue.AreaShape_CentralMoment_0_1,4.0296983856764943e-16,1.0000000000000013
Nue.AreaShape_CentralMoment_0_2,4.4885905691882256e-15,1.0000000000000182
Nue.AreaShape_CentralMoment_0_3,4.282993712776159e-15,1.0000000000000193
Nue.AreaShape_CentralMoment_1_0,1.2257824918418638e-06,1.0000091495274408
Nue.AreaShape_CentralMoment_1_1,-3.315866100213801e-15,0.9999999999999865
Nue.AreaShape_CentralMoment_1_2,2.6316397620744452e-17,1.0000000000000002
Nue.AreaShape_CentralMoment_1_3,-1.782181645058632e-10,0.9999999988930113
Nue.AreaShape_CentralMoment_2_0,-6.880751112913896e-13,0.999999999996371
Nue.AreaShape_CentralMoment_2_1,1.7895150382106225e-15,1.0000000000000069
Nue.AreaShape_CentralMoment_2_2,1.8480538745403986e-09,1.0000000121463901
Nue.AreaShape_CentralMoment_2_3,-1.447401869140945e-16,0.9999999999999998
Nue.AreaShape_Compactness,1.2105542905542447e-15,1.0000000000000047
Nue.AreaShape_ConvexArea,3.6514001698782925e-16,1.000000000000001
Nue.AreaShape_Eccentricity,2.6316397620744452e-17,1.0
Nue.AreaShape_EquivalentDiameter,-6.579099405186112e-17,0.9999999999999998
Nue.AreaShape_EulerNumber,,
Nue.AreaShape_Extent,-6.579099405186113e-18,1.0
Nue.AreaShape_FormFactor,-5.2632795241488905e-17,1.0000000000000002
Nue.AreaShape_HuMoment_0,-1.4224012914012377e-14,0.9999999999999375
Nue.AreaShape_HuMoment_1,3.616623050422479e-12,1.0000000000204403
Nue.AreaShape_HuMoment_2,-2.0739952964908703e-13,0.9999999999989682
Nue.AreaShape_HuMoment_3,4.3875833007952544e-09,1.0000000311263852
Nue.AreaShape_HuMoment_4,-4.575060988490468e-10,0.9999999970847263
Nue.AreaShape_HuMoment_5,-1.3175805483035253e-07,0.9999990530152396
Nue.AreaShape_HuMoment_6,-5.01761595235924e-13,0.9999999999974063
Nue.AreaShape_InertiaTensorEigenvalues_0,-8.473880033879714e-15,0.9999999999999615
Nue.AreaShape_InertiaTensorEigenvalues_1,1.1316050976920115e-15,1.000000000000004
Nue.AreaShape_InertiaTensor_0_0,-3.56258232790828e-15,0.9999999999999846
Nue.AreaShape_InertiaTensor_0_1,1.0526559048297781e-16,1.0000000000000004
Nue.AreaShape_InertiaTensor_1_0,1.0526559048297781e-16,1.0000000000000004
Nue.AreaShape_InertiaTensor_1_1,-1.2789769243681804e-14,0.999999999999945
Nue.AreaShape_MajorAxisLength,1.447401869140945e-16,1.0000000000000004
Nue.AreaShape_MaxFeretDiameter,-1.1842378929335003e-16,0.9999999999999993
Nue.AreaShape_MaximumRadius,-7.894919286223336e-17,0.9999999999999998
Nue.AreaShape_MeanRadius,-1.8421478334521115e-16,0.9999999999999996
Nue.AreaShape_MedianRadius,2.631639762074445e-16,1.0000000000000007
Nue.AreaShape_MinFeretDiameter,1.0526559048297781e-16,1.0000000000000002
Nue.AreaShape_MinorAxisLength,7.894919286223336e-17,1.0000000000000007
Nue.AreaShape_NormalizedMoment_0_2,6.97384536949728e-16,1.0000000000000024
Nue.AreaShape_NormalizedMoment_0_3,-1.855306032262484e-15,0.9999999999999926
Nue.AreaShape_NormalizedMoment_1_1,-1.3158198810372226e-17,1.0
Nue.AreaShape_NormalizedMoment_1_2,-6.579099405186112e-17,0.9999999999999999
Nue.AreaShape_NormalizedMoment_1_3,9.868649107779169e-17,1.0000000000000004
Nue.AreaShape_NormalizedMoment_2_0,6.776472387341696e-16,1.0000000000000024
Nue.AreaShape_NormalizedMoment_2_1,-1.3158198810372226e-17,1.0
Nue.AreaShape_NormalizedMoment_2_2,-3.210971570937276e-11,0.9999999998083386
Nue.AreaShape_NormalizedMoment_2_3,2.6316397620744452e-17,1.0
Nue.AreaShape_NormalizedMoment_3_0,-8.367298623515698e-14,0.9999999999995784
Nue.AreaShape_NormalizedMoment_3_1,1.513192863192806e-16,1.0000000000000007
Nue.AreaShape_NormalizedMoment_3_2,2.3949566609728748e-14,1.0000000000001115
Nue.AreaShape_NormalizedMoment_3_3,-3.1459279625778435e-13,0.9999999999984044
Nue.AreaShape_Orientation,-1.6447748512965283e-18,1.0
Nue.AreaShape_Perimeter,3.026385726385612e-16,1.0000000000000009
Nue.AreaShape_Solidity,-2.6316397620744452e-17,1.0
Nue.AreaShape_SpatialMoment_0_0,-2.0066253185817644e-16,0.9999999999999993
Nue.AreaShape_SpatialMoment_0_1,-1.10857824977386e-15,0.9999999999999956
Nue.AreaShape_SpatialMoment_0_2,1.148381801175236e-14,1.0000000000000502
Nue.AreaShape_SpatialMoment_0_3,-2.8191440951222493e-15,0.999999999999989
Nue.AreaShape_SpatialMoment_1_0,2.565848768022584e-15,1.0000000000000104
Nue.AreaShape_SpatialMoment_1_1,1.1559214490935793e-12,1.0000000000062776
Nue.AreaShape_SpatialMoment_1_2,-7.837187432851383e-08,0.9999994374403703
Nue.AreaShape_SpatialMoment_1_3,2.118779894500016e-05,1.0001682170556907
Nue.AreaShape_SpatialMoment_2_0,4.696819065362366e-13,1.0000000000024662
Nue.AreaShape_SpatialMoment_2_1,1.045511002875746e-12,1.0000000000056215
Nue.AreaShape_SpatialMoment_2_2,5.346987634139803e-07,1.0000040148503933
Nue.AreaShape_SpatialMoment_2_3,-3.4183684689466006e-13,0.9999999999982306
Nue.AreaShape_Zernike_0_0,5.2632795241488905e-17,1.0
Nue.AreaShape_Zernike_1_1,-2.7530899370941806e-13,0.9999999999985654
Nue.AreaShape_Zernike_2_0,3.947459643111668e-17,1.0
Nue.AreaShape_Zernike_2_2,-9.86864910777917e-18,1.0
Nue.AreaShape_Zernike_3_1,5.000115547941446e-15,1.0000000000000215
Nue.AreaShape_Zernike_3_3,-4.20700511464626e-14,0.9999999999998029
Nue.AreaShape_Zernike_4_0,0.0,1.0
Nue.AreaShape_Zernike_4_2,7.894919286223336e-17,1.0
Nue.AreaShape_Zernike_4_4,3.947459643111668e-17,1.0000000000000002
Nue.AreaShape_Zernike_5_1,5.921189464667501e-17,1.0
Nue.AreaShape_Zernike_5_3,5.000115547941446e-16,1.0000000000000016
Nue.AreaShape_Zernike_5_5,1.578983857244667e-15,1.0000000000000064
Nue.AreaShape_Zernike_6_0,-5.2632795241488905e-17,1.0
Nue.AreaShape_Zernike_6_2,-2.6316397620744452e-17,1.0000000000000002
Nue.AreaShape_Zernike_6_4,1.3158198810372226e-17,1.0
Nue.AreaShape_Zernike_6_6,0.0,1.0
Nue.AreaShape_Zernike_7_1,0.0,1.0
Nue.AreaShape_Zernike_7_3,1.7763568394002506e-16,1.0000000000000004
Nue.AreaShape_Zernike_7_5,-1.1513423959075697e-15,0.9999999999999954
Nue.AreaShape_Zernike_7_7,-1.6724728597923616e-13,0.9999999999991497
Nue.AreaShape_Zernike_8_0,6.579099405186113e-18,1.0
Nue.AreaShape_Zernike_8_2,0.0,1.0
Nue.AreaShape_Zernike_8_4,-1.3158198810372226e-17,1.0
Nue.AreaShape_Zernike_8_6,-2.6316397620744452e-17,1.0
Nue.AreaShape_Zernike_8_8,-2.6316397620744452e-17,1.0
Nue.AreaShape_Zernike_9_1,-7.894919286223336e-17,0.9999999999999998
Nue.AreaShape_Zernike_9_3,1.447401869140945e-16,1.0000000000000002
Nue.AreaShape_Zernike_9_5,4.605369583630279e-17,1.0000000000000002
Nue.AreaShape_Zernike_9_7,2.6316397620744452e-17,1.0
Nue.AreaShape_Zernike_9_9,6.711734049194665e-13,1.0000000000034994
