ImageNumber,ObjectNumber,Base File,Prediction,EM_Score
3,26,E_memb.csv,E,0.0017335299117464305
3,31,E_memb.csv,E,0.0006315204047885397
3,32,E_memb.csv,E,0.0006262531153561776
4,1,E_memb.csv,E,0.002648419476293896
4,7,E_memb.csv,E,0.0018948764421160501
4,8,E_memb.csv,E,0.009949027031148772
4,10,E_memb.csv,E,0.000194591935770696
4,20,E_memb.csv,E,0.0010044901392446933
4,24,E_memb.csv,E,0.0014314866275118511
4,27,E_memb.csv,E,0.0001029454109850649
4,37,E_memb.csv,E,0.02255908756572545
4,38,E_memb.csv,E,0.002202085747720925
4,41,E_memb.csv,E,0.008459515421953107
4,42,E_memb.csv,E,0.0006989835590434134
4,45,E_memb.csv,E,0.00015283962886576227
4,46,E_memb.csv,E,0.0003246041921589437
4,56,E_memb.csv,E,0.00019218969349483388
4,60,E_memb.csv,E,0.0003564449312357083
4,63,E_memb.csv,E,0.0005571472288601328
4,69,E_memb.csv,E,0.061848999646093535
5,2,E_memb.csv,M,0.9999971860463923
5,3,E_memb.csv,M,0.9999998917876313
5,10,E_memb.csv,M,0.9983251189337151
5,11,E_memb.csv,M,0.9995538144262738
5,12,E_memb.csv,M,0.999823124176178
5,13,E_memb.csv,M,0.999940935011815
5,14,E_memb.csv,M,0.9999999915311214
6,2,E_memb.csv,M,0.9599584890034079
6,3,E_memb.csv,M,0.9999930926873583
6,14,E_memb.csv,M,0.9752677195995278
6,20,E_memb.csv,M,0.9999321719833306
6,21,E_memb.csv,M,0.9964738875730026
7,14,E_memb.csv,M,0.9999999845657985
7,16,E_memb.csv,M,0.990204373267942
8,2,E_memb.csv,M,0.9920910058976135
8,3,E_memb.csv,M,0.9980562104498354
8,5,E_memb.csv,M,0.9998502467333038
8,12,E_memb.csv,M,0.9999417071657142
8,15,E_memb.csv,M,0.9999957947502504
8,16,E_memb.csv,M,0.9992821396868247
8,17,E_memb.csv,M,0.9381786516134779
8,18,E_memb.csv,M,0.996480666257906
8,21,E_memb.csv,M,0.9993346951358935
8,26,E_memb.csv,M,0.9824321711398543
8,43,E_memb.csv,M,0.9999864299191217
